SourceV	Current	Voltage
779544.74587	1.2828E-5	10
775554.52148	1.2894E-5	10
772081.53181	1.2952E-5	10
769112.44424	1.3002E-5	10
766048.7207	1.3054E-5	10
762485.70339	1.3115E-5	10
759128.52046	1.3173E-5	10
756372.43779	1.3221E-5	10
751936.23581	1.3299E-5	10
749063.67041	1.335E-5	10
745712.15511	1.341E-5	10
742390.4974	1.347E-5	10
738606.98722	1.3539E-5	10
734645.90068	1.3612E-5	10
730246.82343	1.3694E-5	10
727378.52779	1.3748E-5	10
725268.34929	1.3788E-5	10
722230.247	1.3846E-5	10
719786.94307	1.3893E-5	10
716794.49502	1.3951E-5	10
713724.93041	1.4011E-5	10
710984.71383	1.4065E-5	10
708165.14411	1.4121E-5	10
705168.88795	1.4181E-5	10
702592.56657	1.4233E-5	10
699349.60487	1.4299E-5	10
696330.33911	1.4361E-5	10
693288.96284	1.4424E-5	10
688895.0124	1.4516E-5	10
685918.10138	1.4579E-5	10
683060.10929	1.464E-5	10
680179.56741	1.4702E-5	10
677414.98442	1.4762E-5	10
673718.25103	1.4843E-5	10
670196.36754	1.4921E-5	10
666400.10662	1.5006E-5	10
662163.95179	1.5102E-5	10
658935.16078	1.5176E-5	10
655780.70693	1.5249E-5	10
652613.71794	1.5323E-5	10
649013.49948	1.5408E-5	10
647920.17623	1.5434E-5	10
646495.99172	1.5468E-5	10
643128.17544	1.5549E-5	10
640163.88195	1.5621E-5	10
636820.98962	1.5703E-5	10
633834.06224	1.5777E-5	10
631233.43012	1.5842E-5	10
628219.62558	1.5918E-5	10
625078.13477	1.5998E-5	10
621581.30283	1.6088E-5	10
618085.17214	1.6179E-5	10
615081.80588	1.6258E-5	10
610985.51964	1.6367E-5	10
607570.32627	1.6459E-5	10
604156.59739	1.6552E-5	10
600636.67488	1.6649E-5	10
597657.18384	1.6732E-5	10
594671.7412	1.6816E-5	10
591051.48058	1.6919E-5	10
587751.26366	1.7014E-5	10
584932.14787	1.7096E-5	10
582038.29812	1.7181E-5	10
579676.54049	1.7251E-5	10
576003.68642	1.7361E-5	10
